datetime,direction,score,pos_size,tp_pct,sl_pct,rr_actual,result,pnl,capital_after,conf_4h,conf_15m_dir,conf_15m_opp,atr_15m,atr_4h_used,macro_ema,trade_pct
2025-07-11 03:45:00,LONG,60.49,143.41,2.0896,1.0448,2.0,WIN,2.707,1105.89,0.63,0.498,0.2813,0.2797,1.0448,9.1633,0.13
2025-07-11 04:45:00,LONG,74.74,152.06,2.1612,1.0806,2.0,WIN,2.9789,1108.87,0.7879,0.498,0.3737,0.2579,1.0806,9.6594,0.1375
2025-07-11 05:45:00,LONG,81.89,160.79,2.1612,1.0806,2.0,WIN,3.1498,1112.02,0.7879,0.4522,0.2956,0.3062,1.0806,9.6594,0.145
2025-07-11 07:00:00,LONG,60.0,169.58,2.1612,1.0806,2.0,WIN,3.3222,1115.34,0.7879,0.4275,0.3595,0.3069,1.0806,9.6594,0.1525
2025-07-11 08:00:00,LONG,60.62,178.45,2.1646,1.0823,2.0,WIN,3.5021,1118.84,0.7816,0.4294,0.357,0.3104,1.0823,9.8261,0.16
2025-07-11 09:00:00,LONG,61.55,179.01,2.1646,1.0823,2.0,WIN,3.5131,1122.35,0.7816,0.4337,0.357,0.2748,1.0823,9.8261,0.16
2025-07-11 10:15:00,LONG,60.96,179.58,2.1646,1.0823,2.0,LOSS,-2.3008,1120.05,0.7816,0.4337,0.3595,0.2896,1.0823,9.8261,0.16
2025-07-11 11:15:00,LONG,81.1,179.21,2.1646,1.0823,2.0,LOSS,-2.2961,1117.76,0.7816,0.498,0.2813,0.2731,1.0823,9.8261,0.16
2025-07-11 12:15:00,LONG,63.57,170.46,2.2134,1.1067,2.0,LOSS,-2.2255,1115.53,0.6567,0.498,0.2923,0.277,1.1067,8.872,0.1525
2025-07-11 13:15:00,LONG,63.45,161.75,2.2134,1.1067,2.0,LOSS,-2.1118,1113.42,0.6567,0.498,0.2956,0.2562,1.1067,8.872,0.145
2025-07-11 16:45:00,LONG,64.39,153.1,2.2198,1.1099,2.0,LOSS,-2.0037,1111.41,0.6741,0.4337,0.2956,0.3471,1.1099,9.8861,0.1375
2025-07-11 17:45:00,LONG,67.46,144.48,2.2198,1.1099,2.0,LOSS,-1.891,1109.52,0.6741,0.498,0.2956,0.3274,1.1099,9.8861,0.13
